No,L (mm),Do (mm),to (mm),Di (mm),ti (mm),fyo (MPa),fyi (MPa),fc' (MPa),Pu
1,230,75.4,1.29,62.7,1.23,486,470,46.2,348
2,230,75.2,1.19,62.4,1.2,486,470,46.2,348
3,230,76.3,1.78,62,1,486,470,46.2,395
4,230,76.3,1.74,62,0.94,512,470,46.2,395
5,230,81.5,1.11,62.7,1.14,524,470,46.2,386
6,230,81.5,1.14,62.2,1.13,524,470,46.2,395
7,230,87.4,0.99,61.8,0.87,428,452,46.2,378
8,230,87.3,0.94,61.6,0.88,428,452,46.2,385
9,230,99.7,0.59,80.3,0.55,409,474,46.2,283
10,230,99.9,0.7,74,0.62,409,512,46.2,380
11,230,99.8,0.66,61.4,0.55,409,432,46.2,443
12,230,101.7,1.61,61.5,0.56,409,432,46.2,644
13,230,101.4,1.56,63.4,1.15,255,216,46.2,477
14,230,101.5,1.65,76.1,1.19,255,235,46.2,417
15,230,114.3,1.64,63.5,1.12,262,216,46.2,598
16,230,114.3,1.64,76.1,1.14,262,235,46.2,551
17,230,114.3,1.64,88.9,1.56,262,286,46.2,524
18,540,180,3,48,3,275.9,396.1,47.4,1790
19,540,180,3,48,3,275.9,396.1,47.4,1791
20,540,180,3,88,3,275.9,370.2,47.4,1648
21,540,180,3,88,3,275.9,370.2,47.4,1650
22,540,180,3,140,3,275.9,342,47.4,1435
23,540,180,3,140,3,275.9,342,47.4,1358
24,342,114,3,58,3,294.5,374.5,47.4,904
25,342,114,3,58,3,294.5,374.5,47.4,898
26,720,240,3,114,3,275.9,294.5,47.4,2421
27,720,240,3,114,3,275.9,294.5,47.4,2460
28,900,300,3,165,3,275.9,320.5,47.4,3331
29,900,300,3,165,3,275.9,320.5,47.4,3266
30,400,114.3,6,48.3,2.9,454,425,63.4,1665
31,400,114.3,4.8,48.3,2.9,416,425,63.4,1441
32,400,114.3,3.6,48.3,2.9,453,425,63.4,1243
33,400,114.3,3.2,48.3,2.9,430,425,63.4,1145
34,400,165.1,3.5,101.6,3.3,433,394,63.4,1629
35,500,165.1,3,101.6,3.2,395,394,63.4,1613
36,500,163.8,2.35,101.6,3.2,395,394,63.4,1487
37,500,163,1.95,101.6,3.2,395,394,63.4,1328
38,500,162.5,1.7,101.6,3.2,395,394,63.4,1236
39,450,158,0.9,38,0.9,221,221,18.7,635
40,450,159,0.9,76,0.9,221,221,18.7,540
41,450,158,1.5,39,1.5,308,308,18.7,851.6
42,450,158,1.5,77,1.5,308,308,18.7,728.1
43,450,158,1.5,114,1.5,308,308,18.7,589
44,450,158,2.14,40,2.14,286,286,18.7,968.2
45,450,158,2.14,77,2.14,286,286,18.7,879.1
46,450,157,2.14,115,2.14,286,286,18.7,703.6
47,1324,120,1.96,60,1.96,311,380,53.45,779.1
48,1324,120,1.96,60,1.96,311,380,53.45,836.9
49,1324,120,1.96,60,1.96,311,380,53.45,789.9
50,1324,120,1.96,60,1.96,311,380,53.45,715.4
51,400,114.5,5.9,48.4,2.8,454,425,63.4,1418
52,400,114.6,4.7,48.4,2.8,416,425,63.4,1390
53,400,114.4,3.5,48.4,2.8,453,425,63.4,1191
54,400,114.2,3,48.4,2.8,430,425,63.4,1100
55,400,165.1,3.5,101.8,3.1,433,410,63.4,1700
56,400,160,1,75,1,220,220,23.6,540
57,400,160,1.5,75,1.5,255,255,23.6,728
58,400,160,1.5,112,1.5,255,255,23.6,589
59,400,160,2.1,75,2.1,300,300,23.6,879
60,400,160,2.1,112,2.1,300,300,23.6,703
61,660,220,3.62,159,3.62,319.6,319.6,52.7,2537
62,660,220,3.62,159,3.62,319.6,319.6,52.7,2566
63,660,220,3.62,106,3.62,319.6,319.6,52.7,3436
64,660,220,3.62,106,3.62,319.6,319.6,52.7,3506
65,660,220,3.62,159,3.62,319.6,319.6,52.7,2908
66,660,220,3.62,159,3.62,319.6,319.6,52.7,2860
67,500,165,1.7,76,1.2,350,350,19.56,980
68,360,140,3,60,2,369,369,47.49,676
69,360,140,3,60,2,371,369,47.49,672
70,360,140,2,60,2,369,369,47.49,460
71,360,140,2,60,2,369,369,47.49,473
72,998,500.2,4.02,301.6,3.02,366,366,25.32,4206
73,1001,500.3,4.03,302.1,3.01,366,366,25.32,4606
74,1000,500.1,4.01,300.9,3,366,366,25.32,4789
75,1001,498.9,3.01,299.8,3,366,366,25.32,4162
76,1002,498.5,2.99,302.1,2.98,366,366,25.32,3886.5
77,1000,499.6,3.02,301.5,2.99,366,366,25.32,3882
78,1001,601.1,4.01,401.2,2.98,366,366,25.32,5383.5
79,1003,602.3,4.02,402.1,2.97,366,366,25.32,5370.5
80,1001,603.4,3.98,401.5,3.02,366,366,25.32,4820
81,999,601.5,2.98,399.8,3.01,366,366,25.32,4415
82,999,601.2,3.02,400.1,3.02,366,366,25.32,4084.5
83,1002,400.2,3.01,241.2,3.01,366,366,25.32,3423
84,2003,400.6,3.02,240.5,3,366,366,25.32,3013
85,2501,398.2,3,239.8,3,366,366,25.32,3256.5
86,3502,398.6,3,239.6,3.02,366,366,25.32,2923
87,1001,401.2,4,240.2,3,366,366,25.32,3828
88,2005,400.7,4.02,240.1,3.02,366,366,25.32,3542
89,2502,400.3,4.05,240,3.05,366,366,25.32,3790
90,1002,401.2,3.02,240,2.99,366,366,25.32,2990
91,2498,400.1,2.98,240.2,2.98,366,366,25.32,3490
92,998,139.2,3,76,2,418,418,21.81,1059.2
93,1001,139.2,3,76,2,418,418,21.81,1056.1
94,1500,139.2,3,76,2,418,418,21.81,905.5
95,1503,139.2,3,76,2,418,418,21.81,901.6
96,2000,139.2,3,76,2,418,418,21.81,831.7
97,1998,139.2,3,76,2,418,418,21.81,837.4
98,2502,139.2,3,76,2,418,418,21.81,732.1
99,2498,139.2,3,76,2,418,418,21.81,729
100,1003,152.4,3,76,2,549,549,21.81,1263.5
101,1002,152.4,3,76,2,549,549,21.81,1254.9
102,1497,152.4,3,76,2,549,549,21.81,1195.6
103,1503,152.4,3,76,2,549,549,21.81,1191.2
104,1997,152.4,3,76,2,549,549,21.81,1047.3
105,2000,152.4,3,76,2,549,549,21.81,1041.6
106,2498,152.4,3,76,2,549,549,21.81,941.4
107,2500,152.4,3,76,2,549,549,21.81,949
108,998,165.1,3,76,2,516,516,21.81,1512.3
109,999,165.1,3,76,2,516,516,21.81,1510.6
110,1504,165.1,3,76,2,516,516,21.81,1286.4
111,1498,165.1,3,76,2,516,516,21.81,1275.1
112,2003,165.1,3,76,2,516,516,21.81,1187.2
113,1998,165.1,3,76,2,516,516,21.81,1199.8
114,2498,165.1,3,76,2,516,516,21.81,1028
115,2502,165.1,3,76,2,516,516,21.81,1036.5
116,1003,193.7,3.5,76,2,391,391,21.81,2010
117,1000,193.7,3.5,76,2,391,391,21.81,2030
118,1502,193.7,3.5,76,2,391,391,21.81,1730
119,1500,193.7,3.5,76,2,391,391,21.81,1720
120,1998,193.7,3.5,76,2,391,391,21.81,1581.6
121,2003,193.7,3.5,76,2,391,391,21.81,1584.1
122,2503,193.7,3.5,76,2,391,391,21.81,1451.4
123,2497,193.7,3.5,76,2,391,391,21.81,1458.7
124,342,114,2,76,1.6,205,205,45.64,619
125,342,114,2,46.5,1.8,205,205,45.64,669
126,343,114.3,5.85,60.3,2.52,455,396,40.24,1421.54
127,343,114.3,5.85,60.3,5.77,455,310,40.24,1574.26
128,343,114.3,2.73,60.3,2.52,285,396,40.24,734.6
129,343,114.3,2.73,60.3,5.77,285,310,40.24,913.07
130,343,114.3,5.85,60.3,2.52,455,396,67.32,1505.67
131,343,114.3,5.85,60.3,5.77,455,310,67.32,1666.41
132,343,114.3,2.73,60.3,2.52,285,396,67.32,899.21
133,343,114.3,2.73,60.3,5.77,285,310,67.32,1088.06
134,1100,300,4,180,2,291.6,291.6,27.9,2750
135,1100,300,2,180,2,291.6,291.6,27.9,2311
136,500,140,3,48,5,285,290,34.3,1232.4
137,500,140,3,58,5,285,290,34.3,1223.7
138,500,140,5,68,3,290,285,34.3,1347
139,500,140,5,78,3,290,285,34.3,1334.3
140,500,180,3,48,5,300,320,34.3,1852.2
141,500,180,3,58,5,300,320,34.3,1841.4
142,500,180,5,67,3,320,300,34.3,2057.5
143,500,180,5,78,3,320,300,34.3,2043.3
144,570,189.1,5.1,34,3.08,346.9,348.2,37.5,2801
145,570,190.1,5.11,33.9,3.1,346.9,348.2,37.5,2758
146,570,190.5,5.15,59.6,3.32,346.9,342.1,37.5,2473
147,570,188.2,5.04,59.1,3.28,346.9,342.1,37.5,2422
148,570,190.7,5.11,101.6,4.03,346.9,345.8,37.5,1868
149,570,189.2,5,101.2,4.05,346.9,345.8,37.5,1848
150,570,188.9,5.09,33.7,3.09,464,348.2,37.5,3375
151,570,188.9,5.12,33.5,3.06,464,348.2,37.5,3358
152,570,191,5.15,59.4,3.31,464,342.1,37.5,3042
153,570,190.1,5.11,59.1,3.29,464,342.1,37.5,2997
154,570,190.7,5.15,101.1,4.1,464,345.8,37.5,2346
155,570,190.7,5.09,100.9,4.07,464,345.8,37.5,2366
156,570,190.4,5.15,59.9,3.33,346.9,342.1,29,2129
157,570,190,5.11,59.1,3.31,346.9,342.1,29,2111
158,570,189.1,5.1,59.4,3.35,346.9,342.1,37.5,2547
159,570,190.1,5.07,59.7,3.35,346.9,342.1,37.5,2560
160,570,189.9,5.12,58.9,3.31,346.9,342.1,51,2864
161,570,188.6,5.08,58.9,3.33,346.9,342.1,51,2823
162,570,190.3,4.26,59.4,3.36,336.8,342.1,37.5,2133
163,570,190.1,4.21,59.3,3.3,336.8,342.1,37.5,2121
164,570,189.7,5.12,59.5,3.32,346.9,342.1,37.5,2473
165,570,188.8,5.08,59.5,3.31,346.9,342.1,37.5,2457
166,570,189.1,6.77,59.7,3.34,327.3,342.1,37.5,3067
167,570,188.6,6.73,59.8,3.33,327.3,342.1,37.5,3053
